# Export File Created with QBlade CE v2.0.8.6_beta windows on 07.04.2025 at 18:39:12
CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
1.5900000e+02	-7.9821587e-01	END	END
1.6000000e+02	-7.7067798e-01	END	END
1.6100000e+02	-7.4325901e-01	END	END
1.6200000e+02	-7.1628410e-01	END	END
1.6300000e+02	-6.9018370e-01	END	END
1.6400000e+02	-6.6554165e-01	END	END
1.6500000e+02	-6.4316732e-01	END	END
1.6600000e+02	-6.2420142e-01	END	END
1.6700000e+02	-6.1026257e-01	END	END
1.6800000e+02	-6.0362059e-01	END	END
1.6900000e+02	-6.0729736e-01	END	END
1.7000000e+02	-6.2474132e-01	END	END
1.7100000e+02	-6.5811867e-01	END	END
1.7200000e+02	-7.0358980e-01	END	END
1.7300000e+02	-7.4397159e-01	END	END
1.7400000e+02	-7.4894834e-01	END	END
1.7500000e+02	-6.9651461e-01	END	END
1.7600000e+02	-5.9447747e-01	END	END
1.7700000e+02	-4.6781790e-01	END	END
1.7800000e+02	-3.3473855e-01	END	END
1.7900000e+02	-2.0115827e-01	END	END
1.8000000e+02	-6.7577757e-02	END	END
